Date,Temperature,Const1,Const2
1910/2,6.3,8,1
1910/3,12.9,8,1
1910/4,19.7,8,1
1910/5,25.0,8,1
1910/6,27.7,8,1
1910/7,28.9,8,1
1910/8,29.6,8,1
1910/9,23.8,8,1
1910/10,24.1,8,1
1910/11,15.7,8,1
1910/12,4.7,8,1
1911/1,6.4,8,1
1911/2,7.4,8,1
1911/3,9.6,8,1
1911/4,21.5,8,1
1911/5,27.4,8,1
1911/6,27.2,8,1
1911/7,29.8,8,1
1911/8,29.5,8,1
1911/9,29.9,8,1
1911/10,20.0,8,1
1911/11,17.1,8,1
1911/12,10.6,8,1
1912/1,3.9,8,1
1912/2,9.1,8,1
1912/3,7.2,8,1
1912/4,18.5,8,1
1912/5,24.9,8,1
1912/6,26.1,8,1
1912/7,28.3,8,1
1912/8,31.2,8,1
1912/9,26.9,8,1
1912/10,22.7,8,1
1912/11,15.9,8,1
1912/12,4.7,8,1
1913/1,1.8,8,1
1913/2,6.1,8,1
1913/3,9.0,8,1
1913/4,20.7,8,1
1913/5,26.2,8,1
1913/6,25.5,8,1
1913/7,27.4,8,1
1913/8,29.5,8,1
1913/9,25.5,8,1
1913/10,21.3,8,1
1913/11,14.0,8,1
1913/12,10.7,8,1
1914/1,9.5,8,1
1914/2,4.9,8,1
1914/3,12.5,8,1
1914/4,20.8,8,1
1914/5,29.0,8,1
1914/6,28.0,8,1
1914/7,32.0,8,1
1914/8,31.0,8,1
1914/9,30.0,8,1
1914/10,21.5,8,1
1914/11,20.0,8,1
1914/12,4.9,8,1
1915/1,7.0,8,1
1915/2,6.2,8,1
1915/3,7.5,8,1
1915/4,16.3,8,1
1915/5,23.2,8,1
1915/6,27.5,8,1
1915/7,31.2,8,1
1915/8,31.6,8,1
1915/9,27.4,8,1
1915/10,23.3,8,1
1915/11,18.5,8,1
1915/12,9.3,8,1
1916/1,8.2,8,1
1916/2,3.6,8,1
1916/3,5.5,8,1
1916/4,16.6,8,1
1916/5,23.0,8,1
1916/6,28.6,8,1
1916/7,30.7,8,1
1916/8,31.9,8,1
1916/9,28.9,8,1
1916/10,20.6,8,1
1916/11,15.5,8,1
1916/12,11.3,8,1
1917/1,2.7,8,1
1917/2,4.7,8,1
1917/3,9.0,8,1
1917/4,19.8,8,1
1917/5,26.0,8,1
1917/6,29.4,8,1
1917/7,28.7,8,1
1917/8,31.3,8,1
1917/9,28.8,8,1
1917/10,23.7,8,1
1917/11,11.7,8,1
1917/12,9.6,8,1
1918/1,3.9,8,1
1918/2,5.0,8,1
1918/3,8.3,8,1
1918/4,17.2,8,1
1918/5,25.4,8,1
1918/6,27.2,8,1
1918/7,30.7,8,1
1918/8,30.6,8,1
1918/9,28.2,8,1
1918/10,22.9,8,1
1918/11,19.6,8,1
1918/12,7.0,8,1
1919/1,5.5,8,1
1919/2,6.5,8,1
1919/3,9.3,8,1
1919/4,17.8,8,1
1919/5,27.5,8,1
1919/6,25.9,8,1
1919/7,33.2,8,1
1919/8,30.6,8,1
1919/9,27.6,8,1
1919/10,21.3,8,1
1919/11,19.9,8,1
1919/12,12.4,8,1
1920/1,6.3,8,1
1920/2,2.9,8,1
1920/3,10.4,8,1
1920/4,17.9,8,1
1920/5,23.4,8,1
1920/6,28.3,8,1
1920/7,32.7,8,1
1920/8,31.9,8,1
1920/9,30.2,8,1
1920/10,22.1,8,1
1920/11,21.2,8,1
1920/12,6.9,8,1
1921/1,5.4,8,1
1921/2,7.9,8,1
1921/3,9.0,8,1
1921/4,19.8,8,1
1921/5,23.6,8,1
1921/6,27.6,8,1
1921/7,31.5,8,1
1921/8,31.4,8,1
1921/9,30.1,8,1
1921/10,21.6,8,1
1921/11,16.7,8,1
1921/12,5.8,8,1
1922/1,-0.6,8,1
1922/2,9.0,8,1
1922/3,9.8,8,1
1922/4,21.3,8,1
1922/5,25.3,8,1
1922/6,28.5,8,1
1922/7,30.9,8,1
1922/8,32.4,8,1
1922/9,28.6,8,1
1922/10,21.7,8,1
1922/11,19.8,8,1
1922/12,3.2,8,1
1923/1,5.0,8,1
1923/2,4.3,8,1
1923/3,12.1,8,1
1923/4,25.2,8,1
1923/5,23.0,8,1
1923/6,27.6,8,1
1923/7,31.1,8,1
1923/8,30.7,8,1
1923/9,27.4,8,1
1923/10,22.2,8,1
1923/11,15.5,8,1
1923/12,14.0,8,1
1924/1,3.5,8,1
1924/2,5.1,8,1
1924/3,7.1,8,1
1924/4,19.7,8,1
1924/5,26.7,8,1
1924/6,29.6,8,1
1924/7,35.5,8,1
1924/8,34.0,8,1
1924/9,28.4,8,1
1924/10,21.7,8,1
1924/11,19.0,8,1
1924/12,9.4,8,1
1925/1,2.9,8,1
1925/2,4.0,8,1
1925/3,6.3,8,1
1925/4,21.7,8,1
1925/5,20.5,8,1
1925/6,31.1,8,1
1925/7,32.1,8,1
1925/8,32.1,8,1
1925/9,27.9,8,1
1925/10,25.1,8,1
1925/11,14.8,8,1
1925/12,11.0,8,1
1926/1,2.5,8,1
1926/2,6.8,8,1
1926/3,10.2,8,1
1926/4,14.4,8,1
1926/5,23.4,8,1
1926/6,29.6,8,1
1926/7,30.2,8,1
1926/8,29.6,8,1
1926/9,26.9,8,1
1926/10,22.9,8,1
1926/11,13.7,8,1
1926/12,8.1,8,1
1927/1,7.0,8,1
1927/2,3.4,8,1
1927/3,11.5,8,1
1927/4,24.7,8,1
1927/5,28.6,8,1
1927/6,29.7,8,1
1927/7,29.2,8,1
1927/8,32.3,8,1
1927/9,28.0,8,1
1927/10,24.5,8,1
1927/11,14.6,8,1
1927/12,8.5,8,1
1928/1,10.0,8,1
1928/2,5.2,8,1
1928/3,7.1,8,1
1928/4,18.2,8,1
1928/5,24.4,8,1
1928/6,24.3,8,1
1928/7,31.0,8,1
1928/8,33.7,8,1
1928/9,31.3,8,1
1928/10,22.4,8,1
1928/11,17.0,8,1
1928/12,7.6,8,1
1929/1,7.3,8,1
1929/2,2.7,8,1
1929/3,8.4,8,1
1929/4,18.0,8,1
1929/5,27.9,8,1
1929/6,28.2,8,1
1929/7,33.2,8,1
1929/8,33.0,8,1
1929/9,27.0,8,1
1929/10,21.7,8,1
1929/11,16.9,8,1
1929/12,14.5,8,1
1930/1,3.0,8,1
1930/2,5.4,8,1
1930/3,13.4,8,1
1930/4,19.6,8,1
1930/5,26.9,8,1
1930/6,29.0,8,1
1930/7,31.2,8,1
1930/8,33.4,8,1
1930/9,27.6,8,1
1930/10,23.6,8,1
1930/11,17.4,8,1
1930/12,6.5,8,1
1931/1,2.0,8,1
1931/2,2.2,8,1
1931/3,7.9,8,1
1931/4,17.1,8,1
1931/5,23.7,8,1
1931/6,25.1,8,1
1931/7,27.9,8,1
1931/8,31.7,8,1
1931/9,26.8,8,1
1931/10,23.9,8,1
1931/11,16.1,8,1
1931/12,8.0,8,1
1932/1,6.7,8,1
1932/2,5.5,8,1
1932/3,9.2,8,1
1932/4,18.9,8,1
1932/5,27.1,8,1
1932/6,25.8,8,1
1932/7,31.8,8,1
1932/8,29.0,8,1
1932/9,27.3,8,1
1932/10,23.7,8,1
1932/11,21.3,8,1
1932/12,8.7,8,1
1933/1,3.3,8,1
1933/2,2.9,8,1
1933/3,11.0,8,1
1933/4,16.1,8,1
1933/5,28.3,8,1
1933/6,27.8,8,1
1933/7,32.5,8,1
1933/8,32.6,8,1
1933/9,29.3,8,1
1933/10,19.8,8,1
1933/11,16.1,8,1
1933/12,8.2,8,1
1934/1,4.9,8,1
1934/2,2.3,8,1
1934/3,6.3,8,1
1934/4,20.3,8,1
1934/5,29.3,8,1
1934/6,28.3,8,1
1934/7,28.9,8,1
1934/8,29.5,8,1
1934/9,25.8,8,1
1934/10,20.3,8,1
1934/11,17.4,8,1
1934/12,8.8,8,1
1935/1,4.6,8,1
1935/2,7.5,8,1
1935/3,10.5,8,1
1935/4,18.1,8,1
1935/5,23.8,8,1
1935/6,27.7,8,1
1935/7,30.7,8,1
1935/8,27.1,8,1
1935/9,29.1,8,1
1935/10,23.7,8,1
1935/11,16.2,8,1
1935/12,7.6,8,1
1936/1,4.3,8,1
1936/2,5.8,8,1
1936/3,7.3,8,1
1936/4,16.1,8,1
1936/5,24.3,8,1
1936/6,31.3,8,1
1936/7,29.1,8,1
1936/8,29.9,8,1
1936/9,27.7,8,1
1936/10,22.4,8,1
1936/11,12.5,8,1
1936/12,10.5,8,1
1937/1,7.8,8,1
1937/2,5.0,8,1
1937/3,8.0,8,1
1937/4,20.7,8,1
1937/5,21.1,8,1
1937/6,29.7,8,1
1937/7,31.7,8,1
1937/8,33.3,8,1
1937/9,27.9,8,1
1937/10,22.8,8,1
1937/11,20.1,8,1
1937/12,8.9,8,1
1938/1,6.6,8,1
1938/2,4.1,8,1
1938/3,13.5,8,1
1938/4,19.7,8,1
1938/5,31.1,8,1
1938/6,28.7,8,1
1938/7,32.4,8,1
1938/8,33.6,8,1
1938/9,30.1,8,1
1938/10,20.7,8,1
1938/11,17.6,8,1
1938/12,9.2,8,1
1939/1,2.4,8,1
1939/2,3.9,8,1
1939/3,7.7,8,1
1939/4,20.7,8,1
1939/5,24.2,8,1
1939/6,28.7,8,1
1939/7,33.0,8,1
1939/8,30.8,8,1
1939/9,29.3,8,1
1939/10,24.0,8,1
1939/11,19.8,8,1
1939/12,7.8,8,1
1940/1,4.2,8,1
1940/2,2.2,8,1
1940/3,10.4,8,1
1940/4,15.8,8,1
1940/5,25.7,8,1
1940/6,27.3,8,1
1940/7,29.3,8,1
1940/8,30.8,8,1
1940/9,25.8,8,1
1940/10,21.6,8,1
1940/11,20.7,8,1
1940/12,11.0,8,1
1941/1,7.4,8,1
1941/2,8.5,8,1
1941/3,7.4,8,1
1941/4,21.9,8,1
1941/5,24.7,8,1
1941/6,29.9,8,1
1941/7,28.5,8,1
1941/8,30.8,8,1
1941/9,28.0,8,1
1941/10,23.3,8,1
1941/11,15.0,8,1
1941/12,9.1,8,1
1942/1,1.1,8,1
1942/2,4.1,8,1
1942/3,12.6,8,1
1942/4,22.0,8,1
1942/5,25.8,8,1
1942/6,28.3,8,1
1942/7,31.4,8,1
1942/8,29.9,8,1
1942/9,26.3,8,1
1942/10,21.8,8,1
1942/11,15.3,8,1
1942/12,4.4,8,1
1943/1,5.2,8,1
1943/2,3.1,8,1
1943/3,7.0,8,1
1943/4,20.0,8,1
1943/5,26.7,8,1
1943/6,28.7,8,1
1943/7,35.8,8,1
1943/8,33.8,8,1
1943/9,28.0,8,1
1943/10,22.6,8,1
1943/11,17.5,8,1
1943/12,9.0,8,1
1944/1,1.1,8,1
1944/2,3.4,8,1
1944/3,7.1,8,1
1944/4,19.4,8,1
1944/5,27.0,8,1
1944/6,29.5,8,1
1944/7,30.2,8,1
1944/8,32.0,8,1
1944/9,27.1,8,1
1944/10,22.0,8,1
1944/11,20.9,8,1
1944/12,9.0,8,1
1945/1,-0.1,8,1
1945/2,0.8,8,1
1945/3,10.8,8,1
1945/4,17.5,8,1
1945/5,23.3,8,1
1945/6,28.5,8,1
1945/7,27.9,8,1
1945/8,33.0,8,1
1945/9,27.4,8,1
1945/10,22.3,8,1
1945/11,16.2,8,1
1945/12,7.7,8,1
1946/1,4.1,8,1
1946/2,7.5,8,1
1946/3,9.4,8,1
1946/4,18.1,8,1
1946/5,25.0,8,1
1946/6,29.7,8,1
1946/7,32.4,8,1
1946/8,32.9,8,1
1946/9,29.9,8,1
1946/10,24.2,8,1
1946/11,18.7,8,1
1946/12,8.0,8,1
1947/1,5.6,8,1
1947/2,4.4,8,1
1947/3,8.6,8,1
1947/4,22.3,8,1
1947/5,28.2,8,1
1947/6,27.6,8,1
1947/7,32.3,8,1
1947/8,31.5,8,1
1947/9,27.3,8,1
1947/10,21.6,8,1
1947/11,17.8,8,1
1947/12,6.2,8,1
1948/1,8.3,8,1
1948/2,4.8,8,1
1948/3,11.3,8,1
1948/4,22.3,8,1
1948/5,29.3,8,1
1948/6,31.9,8,1
1948/7,33.4,8,1
1948/8,33.6,8,1
1948/9,28.5,8,1
1948/10,22.3,8,1
1948/11,16.3,8,1
1948/12,10.8,8,1
1949/1,8.2,8,1
1949/2,6.8,8,1
1949/3,9.9,8,1
1949/4,19.3,8,1
1949/5,28.6,8,1
1949/6,27.0,8,1
1949/7,33.3,8,1
1949/8,33.8,8,1
1949/9,28.9,8,1
1949/10,20.2,8,1
1949/11,12.8,8,1
1949/12,10.6,8,1
1950/1,8.4,8,1
1950/2,8.1,8,1
1950/3,8.4,8,1
1950/4,22.7,8,1
1950/5,26.3,8,1
1950/6,27.5,8,1
1950/7,35.1,8,1
1950/8,34.0,8,1
1950/9,29.0,8,1
1950/10,22.7,8,1
1950/11,15.9,8,1
1950/12,9.7,8,1
1951/1,5.2,8,1
1951/2,7.7,8,1
1951/3,10.9,8,1
1951/4,19.4,8,1
1951/5,27.9,8,1
1951/6,31.7,8,1
1951/7,32.0,8,1
1951/8,34.5,8,1
1951/9,28.2,8,1
1951/10,24.1,8,1
1951/11,15.6,8,1
1951/12,10.8,8,1
1952/1,4.5,8,1
1952/2,4.0,8,1
1952/3,9.2,8,1
1952/4,20.2,8,1
1952/5,25.2,8,1
1952/6,28.8,8,1
1952/7,32.7,8,1
1952/8,30.5,8,1
1952/9,30.2,8,1
1952/10,24.2,8,1
1952/11,17.5,8,1
1952/12,5.9,8,1
1953/1,6.5,8,1
1953/2,10.8,8,1
1953/3,10.9,8,1
1953/4,20.2,8,1
1953/5,22.6,8,1
1953/6,29.0,8,1
1953/7,32.7,8,1
1953/8,32.2,8,1
1953/9,26.4,8,1
1953/10,21.8,8,1
1953/11,13.0,8,1
1953/12,10.7,8,1
1954/1,4.8,8,1
1954/2,9.4,8,1
1954/3,9.7,8,1
1954/4,22.3,8,1
1954/5,20.8,8,1
1954/6,29.5,8,1
1954/7,27.5,8,1
1954/8,29.7,8,1
1954/9,28.5,8,1
1954/10,21.0,8,1
1954/11,17.3,8,1
1954/12,14.1,8,1
1955/1,3.0,8,1
1955/2,4.7,8,1
1955/3,12.2,8,1
1955/4,19.0,8,1
1955/5,21.7,8,1
1955/6,27.5,8,1
1955/7,34.0,8,1
1955/8,30.8,8,1
1955/9,26.8,8,1
1955/10,21.6,8,1
1955/11,13.2,8,1
1955/12,11.2,8,1
1956/1,4.1,8,1
1956/2,8.0,8,1
1956/3,10.7,8,1
1956/4,18.9,8,1
1956/5,27.3,8,1
1956/6,28.1,8,1
1956/7,30.8,8,1
1956/8,30.1,8,1
1956/9,32.1,8,1
1956/10,21.6,8,1
1956/11,18.0,8,1
1956/12,5.4,8,1
1957/1,6.8,8,1
1957/2,3.0,8,1
1957/3,6.4,8,1
1957/4,20.9,8,1
1957/5,24.4,8,1
1957/6,27.1,8,1
1957/7,29.8,8,1
1957/8,32.6,8,1
1957/9,24.7,8,1
1957/10,24.7,8,1
1957/11,17.3,8,1
1957/12,9.7,8,1
1958/1,4.8,8,1
1958/2,7.4,8,1
1958/3,8.9,8,1
1958/4,20.6,8,1
1958/5,28.8,8,1
1958/6,29.8,8,1
1958/7,31.0,8,1
1958/8,34.3,8,1
1958/9,26.8,8,1
1958/10,20.2,8,1
1958/11,15.9,8,1
1958/12,12.7,8,1
1959/1,6.6,8,1
1959/2,5.1,8,1
1959/3,10.0,8,1
1959/4,23.8,8,1
1959/5,28.9,8,1
1959/6,26.6,8,1
1959/7,29.1,8,1
1959/8,32.6,8,1
1959/9,27.1,8,1
1959/10,23.2,8,1
1959/11,18.3,8,1
1959/12,13.2,8,1
1960/1,6.3,8,1
1960/2,10.6,8,1
1960/3,9.1,8,1
1960/4,17.3,8,1
1960/5,21.2,5,1
1960/6,30.0,8,1
1960/7,32.1,8,1
1960/8,33.8,8,1
1960/9,28.1,8,1
1960/10,21.5,8,1
1960/11,16.9,8,1
1960/12,9.6,8,1
1961/1,3.5,8,1
1961/2,4.9,8,1
1961/3,10.2,8,1
1961/4,27.6,8,1
1961/5,28.3,8,1
1961/6,29.7,8,1
1961/7,32.4,8,1
1961/8,32.4,8,1
1961/9,28.5,8,1
1961/10,22.0,8,1
1961/11,16.6,8,1
1961/12,12.2,8,1
1962/1,5.5,8,1
1962/2,8.4,8,1
1962/3,8.1,8,1
1962/4,22.8,8,1
1962/5,26.3,8,1
1962/6,30.2,8,1
1962/7,29.9,8,1
1962/8,32.8,8,1
1962/9,26.7,8,1
1962/10,22.7,8,1
1962/11,19.0,8,1
1962/12,9.0,8,1
1963/1,2.8,8,1
1963/2,5.7,8,1
1963/3,12.1,8,1
1963/4,19.6,8,1
1963/5,25.2,8,1
1963/6,26.4,8,1
1963/7,32.6,8,1
1963/8,29.7,8,1
1963/9,27.1,8,1
1963/10,20.2,8,1
1963/11,17.6,8,1
1963/12,11.2,8,1
1964/1,6.4,8,1
1964/2,1.3,8,1
1964/3,13.8,8,1
1964/4,21.7,8,1
1964/5,25.1,8,1
1964/6,29.8,8,1
1964/7,31.9,8,1
1964/8,29.4,8,1
1964/9,24.9,8,1
1964/10,21.8,8,1
1964/11,14.8,8,1
1964/12,9.0,8,1
1965/1,5.1,8,1
1965/2,5.1,8,1
1965/3,7.8,8,1
1965/4,18.0,8,1
1965/5,24.1,8,1
1965/6,28.0,8,1
1965/7,29.0,8,1
1965/8,32.0,8,1
1965/9,28.9,8,1
1965/10,20.9,8,1
1965/11,16.6,8,1
1965/12,8.6,8,1
1966/1,4.3,8,1
1966/2,6.4,8,1
1966/3,9.4,8,1
1966/4,22.0,8,1
1966/5,28.6,8,1
1966/6,29.0,8,1
1966/7,30.3,8,1
1966/8,33.8,8,1
1966/9,26.4,8,1
1966/10,25.0,8,1
1966/11,17.9,8,1
1966/12,4.1,8,1
1967/1,7.1,8,1
1967/2,6.9,8,1
1967/3,12.4,8,1
1967/4,23.7,8,1
1967/5,30.4,8,1
1967/6,29.1,8,1
1967/7,33.0,8,1
1967/8,30.6,8,1
1967/9,27.8,8,1
1967/10,23.8,8,1
1967/11,17.0,8,1
1967/12,10.0,8,1
1968/1,6.9,8,1
1968/2,3.9,8,1
1968/3,14.3,8,1
1968/4,17.4,8,1
1968/5,24.3,8,1
1968/6,28.8,8,1
1968/7,32.1,8,1
1968/8,30.2,8,1
1968/9,26.3,8,1
1968/10,24.3,8,1
1968/11,18.0,8,1
1968/12,13.9,8,1
1969/1,5.2,8,1
1969/2,10.2,8,1
1969/3,14.6,8,1
1969/4,23.1,8,1
1969/5,26.7,8,1
1969/6,27.6,8,1
1969/7,33.4,8,1
1969/8,27.2,8,1
1969/9,27.6,8,1
1969/10,20.1,8,1
1969/11,18.3,8,1
1969/12,7.6,8,1
1970/1,3.6,8,1
1970/2,7.5,8,1
1970/3,7.6,8,1
1970/4,19.6,8,1
1970/5,26.5,8,1
1970/6,27.3,8,1
1970/7,32.9,8,1
1970/8,30.7,8,1
1970/9,28.3,8,1
1970/10,23.7,8,1
1970/11,15.5,8,1
1970/12,11.6,8,1
1971/1,6.8,8,1
1971/2,6.3,8,1
1971/3,11.8,8,1
1971/4,21.9,8,1
1971/5,26.6,8,1
1971/6,25.8,8,1
1971/7,31.7,8,1
1971/8,32.1,8,1
1971/9,23.8,8,1
1971/10,19.8,8,1
1971/11,17.8,8,1
1971/12,10.5,8,1
1972/1,6.1,8,1
1972/2,3.7,8,1
1972/3,9.7,8,1
1972/4,21.3,8,1
1972/5,25.6,8,1
1972/6,28.7,8,1
1972/7,31.6,8,1
1972/8,35.1,8,1
1972/9,28.0,8,1
1972/10,21.9,8,1
1972/11,13.9,8,1
1972/12,8.9,8,1
1973/1,4.5,8,1
1973/2,7.7,8,1
1973/3,9.0,8,1
1973/4,20.7,8,1
1973/5,27.1,8,1
1973/6,25.3,8,1
1973/7,33.4,8,1
1973/8,32.7,8,1
1973/9,25.2,8,1
1973/10,24.1,8,1
1973/11,16.8,8,1
1973/12,9.1,8,1
1974/1,5.3,8,1
1974/2,5.5,8,1
1974/3,8.2,8,1
1974/4,19.7,8,1
1974/5,26.7,8,1
1974/6,25.0,8,1
1974/7,32.3,8,1
1974/8,31.4,8,1
1974/9,29.1,8,1
1974/10,19.2,8,1
1974/11,14.0,8,1
1974/12,5.2,8,1
1975/1,4.9,8,1
1975/2,5.0,8,1
1975/3,8.1,8,1
1975/4,22.4,8,1
1975/5,25.8,8,1
1975/6,27.4,8,1
1975/7,29.7,8,1
1975/8,32.7,8,1
1975/9,28.6,8,1
1975/10,22.4,8,1
1975/11,14.1,8,1
1975/12,10.1,8,1
1976/1,6.9,8,1
1976/2,6.7,8,1
1976/3,11.2,8,1
1976/4,16.9,8,1
1976/5,26.8,8,1
1976/6,26.6,8,1
1976/7,34.4,8,1
1976/8,30.0,8,1
1976/9,24.6,8,1
1976/10,20.6,8,1
1976/11,18.7,8,1
1976/12,6.5,8,1
1977/1,0.3,8,1
1977/2,5.6,8,1
1977/3,10.0,8,1
1977/4,18.1,8,1
1977/5,27.0,8,1
1977/6,27.1,8,1
1977/7,34.0,8,1
1977/8,29.4,8,1
1977/9,29.3,8,1
1977/10,22.4,8,1
1977/11,13.5,8,1
1977/12,10.8,8,1
1978/1,3.6,8,1
1978/2,0.7,8,1
1978/3,13.9,8,1
1978/4,17.3,8,1
1978/5,26.3,8,1
1978/6,28.8,8,1
1978/7,32.7,8,1
1978/8,35.2,8,1
1978/9,26.6,8,1
1978/10,25.8,8,1
1978/11,16.9,8,1
1978/12,10.0,8,1
1979/1,6.2,8,1
1979/2,5.5,8,1
1979/3,6.6,8,1
1979/4,12.1,8,1
1979/5,25.4,8,1
1979/6,27.7,8,1
1979/7,30.6,8,1
1979/8,32.0,8,1
1979/9,26.0,8,1
1979/10,21.3,8,1
1979/11,19.2,8,1
1979/12,13.8,8,1
1980/1,7.7,8,1
1980/2,3.8,8,1
1980/3,12.9,8,1
1980/4,14.8,8,1
1980/5,27.2,8,1
1980/6,31.0,8,1
1980/7,28.8,8,1
1980/8,29.2,8,1
1980/9,25.9,8,1
1980/10,23.7,8,1
1980/11,16.8,8,1
1980/12,12.4,8,1
1981/1,1.4,8,1
1981/2,4.9,8,1
1981/3,10.8,8,1
1981/4,20.8,8,1
1981/5,24.1,8,1
1981/6,27.7,8,1
1981/7,32.6,8,1
1981/8,34.0,8,1
1981/9,24.5,8,1
1981/10,23.5,8,1
1981/11,14.4,8,1
1981/12,8.7,8,1
1982/1,7.0,8,1
1982/2,5.3,8,1
1982/3,12.9,8,1
1982/4,18.8,8,1
1982/5,24.4,8,1
1982/6,27.4,8,1
1982/7,31.9,8,1
1982/8,30.8,8,1
1982/9,27.9,8,1
1982/10,23.1,8,1
1982/11,17.2,8,1
1982/12,8.4,8,1
1983/1,8.4,8,1
1983/2,3.4,8,1
1983/3,12.5,8,1
1983/4,20.8,8,1
1983/5,26.2,8,1
1983/6,21.8,8,1
1983/7,27.0,8,1
1983/8,34.8,8,1
1983/9,29.4,8,1
1983/10,21.8,8,1
1983/11,14.7,8,1
1983/12,7.6,8,1
1984/1,3.4,8,1
1984/2,1.2,8,1
1984/3,3.9,8,1
1984/4,20.7,8,1
1984/5,26.1,8,1
1984/6,29.0,8,1
1984/7,32.4,8,1
1984/8,32.6,8,1
1984/9,26.6,8,1
1984/10,23.3,8,1
1984/11,17.7,8,1
1984/12,10.6,8,1
1985/1,3.2,8,1
1985/2,4.0,8,1
1985/3,7.8,8,1
1985/4,18.2,8,1
1985/5,29.7,8,1
1985/6,28.1,8,1
1985/7,33.3,8,1
1985/8,34.7,8,1
1985/9,26.7,8,1
1985/10,22.1,8,1
1985/11,14.7,8,1
1985/12,9.4,8,1
1986/1,7.1,8,1
1986/2,3.0,8,1
1986/3,7.1,8,1
1986/4,19.1,8,1
1986/5,25.3,8,1
1986/6,28.3,8,1
1986/7,33.7,8,1
1986/8,32.7,8,1
1986/9,29.6,8,1
1986/10,22.1,8,1
1986/11,15.1,8,1
1986/12,6.7,8,1
1987/1,6.7,8,1
1987/2,7.3,8,1
1987/3,10.5,8,1
1987/4,23.4,8,1
1987/5,25.8,8,1
1987/6,29.5,8,1
1987/7,30.0,8,1
1987/8,30.1,8,1
1987/9,26.3,8,1
1987/10,26.4,8,1
1987/11,14.3,8,1
1987/12,8.4,8,1
1988/1,7.1,8,1
1988/2,3.6,8,1
1988/3,9.9,8,1
1988/4,23.5,8,1
1988/5,23.7,8,1
1988/6,28.4,8,1
1988/7,28.8,8,1
1988/8,32.6,8,1
1988/9,25.7,8,1
1988/10,21.3,8,1
1988/11,14.4,8,1
1988/12,11.4,8,1
1989/1,6.5,8,1
1989/2,6.5,8,1
1989/3,12.7,8,1
1989/4,19.6,8,1
1989/5,24.0,8,1
1989/6,27.2,8,1
